date,long_return,short_return,portfolio_return,cost,net_return,capital,month
2023-10-19,0.14999999999999997,-0.11149,0.130745,0.0026,0.128145,1146071430497.9055,2023-10
2023-10-24,0.11542,-0.014249999999999999,0.064835,0.0026,0.062235000000000006,1217397185974.9426,2023-10
2023-10-27,0.05241,-0.05738,0.054895,0.0026,0.052295,1281060971815.5022,2023-10
2023-11-01,0.13167999999999996,-0.014409999999999997,0.07304499999999998,0.0026,0.07044499999999998,1371305311975.0452,2023-11
2023-11-06,0.03066,-0.030110000000000005,0.030385000000000002,0.0026,0.027785000000000004,1409407030068.2717,2023-11
2023-11-09,0.12705,-0.04053,0.08379,0.0026,0.08119,1523836786839.515,2023-11
2023-11-14,0.058779999999999985,-0.03429,0.04653499999999999,0.0026,0.043934999999999995,1590786556069.309,2023-11
2023-11-17,0.1404,-0.05750999999999999,0.09895499999999999,0.0026,0.09635499999999998,1744066794679.3672,2023-11
2023-11-22,0.13130999999999998,-0.07525000000000001,0.10328,0.0026,0.10067999999999999,1919659439567.686,2023-11
2023-11-27,0.14526,-0.05728000000000001,0.10127,0.0026,0.09867,2109072236469.8296,2023-11
2023-11-30,0.12143,-0.09702,0.10922499999999999,0.0026,0.10662499999999998,2333952063683.4253,2023-11
2023-12-05,0.0867,-0.1106,0.09865,0.0026,0.09605,2558128159400.2183,2023-12
2023-12-08,0.10779000000000001,-0.05656,0.082175,0.0026,0.07957499999999999,2761691207684.4907,2023-12
2023-12-13,0.04786,-0.07415000000000001,0.061005000000000004,0.0026,0.058405000000000006,2922987782669.3037,2023-12
2023-12-18,0.08959,-0.15293,0.12126,0.0026,0.11866,3269829512960.8433,2023-12
2023-12-21,0.14999999999999997,-0.14459,0.14729499999999998,0.0026,0.144695,3742957494338.7124,2023-12
2023-12-26,0.12465999999999999,-0.04117,0.08291499999999999,0.0026,0.08031499999999998,4043573125496.526,2023-12
2024-01-04,0.056799999999999996,-0.12814,0.09247,0.0026,0.08986999999999999,4406969042284.898,2024-01
2024-01-09,0.14999999999999997,-0.17021999999999998,0.16010999999999997,0.0026,0.15750999999999998,5101110736135.193,2024-01
2024-01-12,0.12634,-0.10178000000000001,0.11406000000000001,0.0026,0.11146,5669680538784.822,2024-01
2024-01-17,0.12169,-0.18138,0.151535,0.0026,0.148935,6514094409828.74,2024-01
2024-01-22,0.14999999999999997,-0.09872,0.12435999999999998,0.0026,0.12175999999999998,7307250545169.488,2024-01
2024-01-30,0.10984000000000001,-0.23329999999999998,0.17157,0.0026,0.16897,8541956669786.777,2024-01
2024-02-02,0.14999999999999997,-0.21647,0.18323499999999998,0.0026,0.180635,10084933012833.713,2024-02
2024-02-07,0.14999999999999997,0.05212,0.048939999999999984,0.0026,0.046339999999999985,10552268808648.428,2024-02
2024-02-28,0.14999999999999997,-0.055279999999999996,0.10263999999999998,0.0026,0.10003999999999998,11607917780265.615,2024-02
2024-03-04,0.10730999999999999,-0.07666,0.091985,0.0026,0.08938499999999999,12645491511054.658,2024-03
2024-03-07,0.14999999999999997,-0.059789999999999996,0.10489499999999999,0.0026,0.10229499999999998,13939062065177.994,2024-03
2024-03-12,0.11377000000000001,-0.03191,0.07284,0.0026,0.07024,14918141784636.098,2024-03
2024-03-15,0.06616999999999999,-0.00529,0.03573,0.0026,0.03313,15412379821961.094,2024-03
2024-03-20,0.021490000000000002,-0.10246,0.061975,0.0026,0.059375000000000004,16327489873890.033,2024-03
2024-03-25,0.14999999999999997,-0.11561000000000002,0.132805,0.0026,0.13020500000000002,18453410692919.887,2024-03
2024-03-28,0.11695,-0.05732,0.087135,0.0026,0.084535,20013369765845.87,2024-03
2024-04-02,0.020819999999999998,-0.118,0.06941,0.0026,0.06681,21350462999902.035,2024-04
2024-04-09,0.06355000000000001,-0.12545,0.0945,0.0026,0.0919,23312570549593.035,2024-04
2024-04-12,0.09056,-0.16416999999999998,0.127365,0.0026,0.124765,26221163414213.01,2024-04
2024-04-17,0.030749999999999993,-0.12505000000000002,0.07790000000000001,0.0026,0.0753,28195617019303.25,2024-04
2024-04-22,0.09296,-0.11246,0.10271,0.0026,0.10010999999999999,31018280239105.695,2024-04
2024-04-25,0.12867,-0.09705,0.11286,0.0026,0.11026,34438355818269.49,2024-04
2024-04-30,0.08568,-0.06560999999999999,0.07564499999999999,0.0026,0.07304499999999998,36953905519014.984,2024-04
2024-05-08,0.08372,-0.20088999999999996,0.142305,0.0026,0.139705,42116550889548.97,2024-05
2024-05-13,0.14999999999999997,-0.15677999999999997,0.15338999999999997,0.0026,0.15078999999999998,48467305598184.055,2024-05
2024-05-16,0.14999999999999997,-0.18297999999999998,0.16648999999999997,0.0026,0.16388999999999998,56410612312670.43,2024-05
2024-05-21,0.14999999999999997,-0.12993,0.13996499999999998,0.0026,0.137365,64159456073000.4,2024-05
2024-05-24,0.14999999999999997,-0.25053000000000003,0.200265,0.0026,0.197665,76841534957670.02,2024-05
2024-05-29,0.11160999999999999,-0.22802999999999995,0.16981999999999997,0.0026,0.16721999999999998,89690976433291.6,2024-05
2024-06-03,0.12458999999999998,-0.22990999999999998,0.17724999999999996,0.0026,0.17464999999999997,105355505467365.97,2024-06
2024-06-06,0.14999999999999997,-0.19195999999999996,0.17097999999999997,0.0026,0.16837999999999997,123095265477961.05,2024-06
2024-06-12,0.05932,-0.10232000000000001,0.08082,0.0026,0.07822,132723777143647.16,2024-06
2024-06-17,0.08051,-0.10245,0.09148,0.0026,0.08888,144520266456174.53,2024-06
2024-06-20,0.14873999999999998,-0.17831999999999998,0.16352999999999998,0.0026,0.16093,167777912936966.7,2024-06
2024-06-25,0.14999999999999997,-0.13817,0.14408499999999996,0.0026,0.14148499999999997,191515970948853.4,2024-06
2024-06-28,0.14999999999999997,-0.13935,0.144675,0.0026,0.142075,218725602521411.75,2024-06
2024-07-03,0.13818999999999998,-0.175,0.15659499999999998,0.0026,0.153995,252408251681696.56,2024-07
2024-07-08,0.14999999999999997,-0.12079,0.135395,0.0026,0.132795,285926805463767.44,2024-07
2024-07-11,0.045219999999999996,-0.14577,0.095495,0.0026,0.09289499999999999,312487976057324.1,2024-07
2024-07-16,0.14142,-0.11293,0.12717499999999998,0.0026,0.12457499999999998,351416165674665.25,2024-07
2024-07-19,0.09957999999999999,-0.15446,0.12702,0.0026,0.12441999999999999,395139365007907.06,2024-07
2024-07-24,0.14999999999999997,-0.10744000000000001,0.12872,0.0026,0.12612,444974341722704.3,2024-07
