feature,importance,rank,kept
RESI_A_3,0.0005857436402622163,368,True
volatility_15d_rankpct,0.0005848468782968639,369,True
Q20_R_60,0.0005826826103951762,370,True
SLOPE_HLR_10,0.0005802630259797905,371,True
KURT_CF_5,0.0005736856705812046,372,True
macd_hist,0.0005695545653820384,373,True
price_vs_ma5_z,0.0005680324397427964,374,True
REBOUND_DAY_T,0.000564884487386681,375,True
SKEW_CF_30,0.000563316883391241,376,True
KBAR_KSFT,0.0005573376637706203,377,True
Q20_VWAP_60,0.0005558825205872163,378,True
MEAN_HLR_10,0.0005487871817288064,379,True
SKEW_R_30,0.0005465565138908103,380,True
RSQ_LOW_30,0.0005450897268755199,381,True
SKEW_A_5,0.0005440701290138699,382,True
MED_CF_3,0.0005400186147229605,383,True
RESI_R_5,0.0005369508074824964,384,True
Q80_VWAP_10,0.0005347324505787409,385,True
MEAN_HLR_30,0.0005290647663504948,386,True
UPPER_SHADOW_RATIO,0.0005230034858267466,387,True
dist_to_high_60_z,0.0005227668502623819,388,True
slowk,0.0005213364473850479,389,True
STD_OPEN_30,0.0005184057076929809,390,True
illiq_z,0.0005163785540080016,391,True
bb_position_z,0.0005148694619376324,392,True
ST_STATUS,0.0005140921961151052,393,True
MIN_R_3,0.0005125003998089016,394,True
SLOPE_LOW_5,0.0005104298632542279,395,True
rsi_24_z,0.0005099705774168414,396,True
RSQ_HLR_30,0.0005037596108917547,397,True
SLOPE_LOGV_30,0.0005028394335789882,398,True
MIN_LOGV_5,0.0005006751610082162,399,True
MEAN_RETON_60,0.0005002290161464085,400,True
RSQ_RETON_5,0.0004988831033719064,401,True
volume_lag_10_z,0.0004956269490079385,402,True
volatility_3d_z,0.0004937782070210344,403,True
RESI_V_3,0.000493204697555603,404,True
ret_intraday_z,0.0004914211695159166,405,True
RSQ_LOGV_20,0.0004882009518796032,406,True
MIN_R_5,0.0004878730537820682,407,True
AMT_SHRINK_PEAK,0.0004867272405610295,408,True
RET5,0.00048200786020102966,409,True
macd_z,0.00047944979974359867,410,True
MEAN_LOW_5,0.0004787089165913989,411,True
MED_A_20,0.000476325617957239,412,True
RESI_VWAP_20,0.00047568660170498283,413,True
IDXMIN_LOW_60,0.0004733075350679003,414,True
IDXMAX_RETON_60,0.00047162639163592015,415,True
daily_return_rankpct,0.00047068476486938335,416,True
rsi_6_rankpct,0.00046916521903596136,417,True
SKEW_LOGV_10,0.00046909520226013116,418,True
high_mean_20_rankpct,0.000455901049619846,419,True
IND_CAPIT_PCT120,0.00045419483240318273,420,True
RESI_RETON_10,0.00045275907618755383,421,True
intraday_pos_lag_2_rankpct,0.00045127998962280136,422,True
illiq_lag_1_z,0.0004502500072888405,423,True
WMA_A_3,0.00044260848249957815,424,True
KURT_VWAP_30,0.0004397596505902163,425,True
volume_lag_15_z,0.0004365645963843325,426,True
WMA_RETID_10,0.0004261685404459901,427,True
RSQ_V_3,0.0004247981342805483,428,True
SLOPE_VWAP_60,0.0004130775489780494,429,True
MEAN_LOW_30,0.0004043169272062782,430,True
upper_shadow_ratio_z,0.0004001044590663218,431,True
DELTA_RETID_30,0.00039580514424925983,432,True
Q20_RETON_10,0.0003954408493384805,433,True
MAX_LOGV_5,0.00039511157650410164,434,True
SLOPE_RETON_3,0.0003927992145148717,435,True
macd_golden_cross_z,0.00039091301589061934,436,True
KURT_OPEN_20,0.0003887939828097492,437,True
return_lag_2,0.00038521589950211055,438,True
CAL_DOW_0,0.0003848642245345671,439,True
MIN_LOW_30,0.0003820969207389232,440,True
RESI_RETON_5,0.0003795582370656994,441,True
CORR_HLR_V_20,0.00037580826427598563,442,True
COV_CLOSE_LOGV_10,0.00036878991648578235,443,True
STR20,0.0003680167859472741,444,True
MED_RETID_3,0.00036704725494130695,445,True
SKEW_RETID_30,0.00036663413205952213,446,True
MED_CF_60,0.00036569664295957316,447,True
IDXMIN_A_60,0.0003597764834560758,448,True
intraday_pos_lag_3_z,0.0003596313915737704,449,True
MIN_V_10,0.00035946813468155345,450,True
CAL_DOW_4,0.00035454876190856396,451,True
STD_RETID_30,0.0003542994922245689,452,True
LOG_PRICE,0.0003501665366365682,453,True
STD_LOGV_10,0.0003472771848320042,454,True
rsi_robust_z,0.00034642067436085184,455,True
MAX_CF_20,0.00034346837950841627,456,True
RSQ_LOW_20,0.0003394823035297352,457,True
REF_HIGH_3,0.00033795899878154366,458,True
SKEW_RETON_20,0.0003248732078584116,459,True
RSQ_VWAP_30,0.0003215127077380927,460,True
ret_intraday_lag_1,0.00032056575476605513,461,True
SLOPE_HLR_30,0.0003129456832299707,462,True
STD_R_30,0.00031247306289725713,463,True
MAX_A_5,0.0003098612047457279,464,True
SLOPE_HLR_3,0.0003085695720748605,465,True
RSQ_OPEN_30,0.0003064231923320931,466,True
MEAN_A_30,0.0003033025853782114,467,True
MEAN_VWAP_3,0.0002992571427337345,468,True
clv_rankpct,0.0002915224123997326,469,True
amihud_illiq_intraday_rankpct,0.0002904409220715817,470,True
MIN_HIGH_10,0.0002850804439628462,471,True
atr_z,0.00028228589077810906,472,True
macd_hist_direction_z,0.000281306528259128,473,True
KURT_OPEN_30,0.00028123386452044534,474,True
COUNT_RETON_30,0.00027952440922165154,475,True
rsi_14,0.000276241518120044,476,True
efficiency_ratio_rankpct,0.00027143193868329704,477,True
STD_CF_5,0.0002694609942284125,478,True
vol_divergence,0.0002648826792017896,479,True
MED_HIGH_60,0.0002641330733390679,480,True
RSQ_VWAP_5,0.00025610357121268103,481,True
Q20_RETON_30,0.0002523387165808904,482,True
DELTA_HLR_3,0.00024422591545722634,483,True
SLOPE_LOW_3,0.00024283922701887818,484,True
bb_middle_z,0.0002359478495793856,485,True
MAX_RETID_30,0.00023318866933191322,486,True
return_lag_3,0.00023084671954194962,487,True
macd_hist_amplitude_z,0.00022485171422123758,488,True
STD_VWAP_60,0.00022387047523763834,489,True
BP_IND_Z,0.00022347220958497587,490,True
STD_VWAP_3,0.00021005114300758833,491,True
STD_VWAP_20,0.00020490754448956427,492,True
Q20_RETID_20,0.00020204891494960846,493,True
EMA_LOW_10,0.00019929307205274053,494,True
RSQ_HLR_20,0.00019279354743579442,495,True
DIV_DIF_LIFT,0.0001888301093811527,496,True
DISPOSAL60,0.0001763005885676197,497,True
rsi_oversold_6_z,0.00016867351947072847,498,True
efficiency_ratio_lag_1,0.00016369154757469274,499,True
SKEW_CF_10,0.00016188595478806606,500,True
volume_ma_ratio,0.00016070355866705025,501,True
DELTA_RETID_3,0.00016000534302729554,502,True
rsi_6_z,0.00015739041591358486,503,True
KURT_LOW_10,0.00015413452716588774,504,True
Q20_R_3,0.00014944235592576286,505,True
