,selection_rate,sign_consistency,mean_abs_coef,std_abs_coef,strength_stability
rank_volume,0.4166666666666667,1.0,0.0034029876449047027,0.005800357976605134,0.5866857974335615
volume_rankpct,0.4166666666666667,1.0,0.0034029876449047027,0.005800357976605134,0.5866857974335615
rank_volume_rankpct,0.4166666666666667,1.0,0.0034029876449047027,0.005800357976605134,0.5866857974335615
log_volume_rankpct,0.4166666666666667,1.0,0.0034029876449047027,0.005800357976605134,0.5866857974335615
rank_volume_z,0.4166666666666667,1.0,0.0033955489575566555,0.005801572527969661,0.5852807908867036
volatility_5d_z,0.4166666666666667,1.0,0.002389043652494854,0.004131217662116632,0.5782904334483374
smart_money_diff_rankpct,0.4166666666666667,1.0,0.0029961535097777765,0.005189540492450301,0.5773446635856402
slowd_z,0.4166666666666667,1.0,0.02884051589162449,0.052063455131739114,0.5539493262336834
sh_volume_ratio,0.4166666666666667,1.0,0.015407934222475253,0.028233864675807116,0.5457252983038459
stoch_oversold,0.4166666666666667,1.0,0.009615535473133839,0.019062942673649847,0.5044098194989127
price_decline_pct,0.4166666666666667,1.0,0.010418027539172843,0.022668879814707228,0.4595739897307931
macd_previous,0.3333333333333333,1.0,0.014366592603096882,0.021617092893621407,0.6645941095685469
macd_zero_cross_up_z,0.3333333333333333,1.0,0.003334751736851802,0.00516295004596995,0.6459004459000747
macd_hist_rankpct,0.3333333333333333,1.0,0.0026106539595614118,0.004071426880796951,0.6412135194849418
macd_signal_distance_rankpct,0.3333333333333333,1.0,0.0026106539595614118,0.004071426880796951,0.6412135194849418
macd_signal_convergence_rankpct,0.3333333333333333,1.0,0.0026106539595614118,0.004071426880796951,0.6412135194849418
vol_gk_ratio_lag_10,0.3333333333333333,1.0,0.03463628177535907,0.056303280267318734,0.6151734252589136
rsi_momentum_rankpct,0.3333333333333333,1.0,0.005372421604733943,0.008735750669409261,0.6149925527919449
intraday_pos_lag_2,0.3333333333333333,1.0,0.008203605397926538,0.013409956881454344,0.6117547931322532
volume_dryup_z,0.3333333333333333,1.0,0.0021488470057218056,0.00355569199409749,0.6043400298138671
macd_signal_convergence_trend_z,0.3333333333333333,1.0,0.004666284486910223,0.007924842911145907,0.5888172849896268
signed_vol_strength_z,0.3333333333333333,1.0,0.002726649125813957,0.004675065812695621,0.5832322442198485
price_vs_ma5_z,0.3333333333333333,1.0,0.0023744298780633646,0.004107115686819596,0.5781258817917638
pv_corr_10,0.3333333333333333,1.0,0.011837089282479759,0.02064043673411699,0.5734902528934379
ret_intraday_lag_3_rankpct,0.3333333333333333,1.0,0.0012392866771126843,0.0021896458885218425,0.5659758427648252
rsi_oversold_6_rankpct,0.3333333333333333,0.5,0.0106142920303047,0.019200690898829906,0.5528078175015847
illiq_lag_1_rankpct,0.3333333333333333,1.0,0.0025076726003952356,0.004545807621657127,0.5516451220786791
volatility_3d_z,0.3333333333333333,1.0,0.00619835304971116,0.011284166054168744,0.5492965115859212
rsi_oversold_14_z,0.3333333333333333,1.0,0.003902650859418008,0.007192846853028811,0.54257388474421
volatility_15d_z,0.3333333333333333,1.0,0.004866843508403019,0.009044291340244636,0.5381121997637217
ret_overnight_lag_3_rankpct,0.3333333333333333,1.0,0.002989177923660168,0.005681210604391887,0.5261515778607766
high_lag_20_rankpct,0.3333333333333333,1.0,0.0016477136520406336,0.003236734890774897,0.5090666080613601
price_macd_ratio,0.3333333333333333,1.0,0.0004328204700563887,0.0008638709717857006,0.5010244402143865
atr_rankpct,0.3333333333333333,1.0,0.0032650535963451954,0.006556783104690618,0.497965777457154
boxcox_atr_rankpct,0.3333333333333333,1.0,0.0032650535963451954,0.006556783104690618,0.497965777457154
illiq_lag_1_z,0.3333333333333333,1.0,0.003160653101651797,0.006568905551051084,0.48115368337820963
return_lag_1_z,0.3333333333333333,1.0,0.003591217445973481,0.007906838965495126,0.45419129713470763
bb_position,0.3333333333333333,1.0,0.007465885944352032,0.016504356632434727,0.45235849603976125
support_resistance_ratio_lag_1_rankpct,0.3333333333333333,1.0,0.003157916026741697,0.007243703348425896,0.4359532513749245
illiq_z,0.3333333333333333,0.5,0.0022516880101527826,0.005257523931816651,0.42827917463701376
macd_percentile_rankpct,0.3333333333333333,0.0,0.01620206098007523,0.04635822812645943,0.3494969854300307
rsi_overbought_6_rankpct,0.25,1.0,0.002116606072288413,0.0038615328652047503,0.548125872852356
pv_corr_10_z,0.25,1.0,0.0019808888092703895,0.003624957525823329,0.5464584881778647
smart_money_diff_lag_3_rankpct,0.25,1.0,0.0016605550614432708,0.003196306923431822,0.5195230311801096
rsi_overbought_14,0.25,1.0,0.0009013195686696143,0.0017389342282469458,0.518317227890932
return_lag_20,0.25,1.0,0.0029066018814616775,0.005624385900781075,0.5167856425104169
market_avg_change,0.25,1.0,0.005759194871956066,0.011216953981901574,0.513436614008443
volume_ma_ratio,0.25,1.0,0.007699871559559601,0.015432223268967968,0.4989476516350668
volume_lag_15,0.25,1.0,0.0022014741935601737,0.004448609814495361,0.49486789926751606
amplitude_z,0.25,1.0,0.0005622463286444622,0.0011415057814163267,0.49254794657881923
vol_gk_lag_10_z,0.25,1.0,0.004778601461062594,0.009719779473361289,0.4916368189380392
macd_z,0.25,1.0,0.007965600757395825,0.016317465089386717,0.48816410599075516
atr_ratio,0.25,1.0,0.0074630972231533406,0.01534921621143289,0.48622008579138004
sz_amplitude,0.25,1.0,0.0016809285326077836,0.0034598198332043317,0.48584279345291287
sz_price_wave_abs,0.25,1.0,0.0016809285326077836,0.0034598198332043317,0.48584279345291287
price_volume_divergence_rankpct,0.25,1.0,0.0024577167722315374,0.005078465240811628,0.48394872381537674
macd_hist_z,0.25,0.3333333333333333,0.0007132589914922998,0.001498111441850405,0.47610542952085855
macd_signal_distance_z,0.25,0.3333333333333333,0.0007132589914922998,0.001498111441850405,0.47610542952085855
macd_signal_convergence_z,0.25,0.3333333333333333,0.0007132589914922998,0.001498111441850405,0.47610542952085855
ret_intraday,0.25,1.0,0.005016739272155364,0.011015955037505392,0.4554066583491998
return_lag_10_rankpct,0.25,1.0,0.0026486079604925382,0.005851019199063633,0.45267463161228527
high_lag_25_rankpct,0.25,1.0,0.004592222825804896,0.01015324444392485,0.45229117167100535
illiq_lag_3_rankpct,0.25,1.0,0.0019166185256650127,0.004261317275331409,0.4497713739270809
cs_n,0.25,0.3333333333333333,0.030307692023771576,0.06773195824205627,0.44746516726210434
vol_gk_ratio,0.25,1.0,0.0038180432714152827,0.008564671366023343,0.4457898158896943
vol_gk_ratio_lag_1_rankpct,0.25,1.0,0.00141123672896185,0.003187657748196844,0.4427190245753772
macd_hist_amplitude,0.25,1.0,0.006947349930300946,0.015845522938019958,0.43844245200840815
