,fold_0,fold_1,fold_2,fold_3,fold_4,importance_mean,importance_std
volume_lag_15,0,0,0,0,0,0.0,0.0
volume_lag_20,0,0,0,0,0,0.0,0.0
low_lag_25,0,0,0,0,0,0.0,0.0
volume_dryup,0,0,0,0,0,0.0,0.0
volume_spike,0,0,0,0,0,0.0,0.0
volume_ratio,0,0,0,0,0,0.0,0.0
volume_ma20,0,0,0,0,0,0.0,0.0
macd_golden_cross,0,0,0,0,0,0.0,0.0
macd_signal_distance,0,0,0,0,0,0.0,0.0
rsi_overbought_24,0,0,0,0,0,0.0,0.0
rsi_overbought_14,0,0,0,0,0,0.0,0.0
rsi_overbought_6,0,0,0,0,0,0.0,0.0
rsi_oversold_24,0,0,0,0,0,0.0,0.0
rsi_oversold_14,0,0,0,0,0,0.0,0.0
rsi_oversold_6,0,0,0,0,0,0.0,0.0
bb_squeeze,0,0,0,0,0,0.0,0.0
bb_position,0,0,0,0,0,0.0,0.0
ma_arrangement,0,0,0,0,0,0.0,0.0
macd_signal_convergence_trend,0,0,0,0,0,0.0,0.0
volume,0,0,0,0,0,0.0,0.0
macd,0,0,0,0,0,0.0,0.0
macd_signal,0,0,0,0,0,0.0,0.0
macd_hist,0,0,0,0,0,0.0,0.0
rsi_6,0,0,0,0,0,0.0,0.0
rsi_24,0,0,0,0,0,0.0,0.0
ma_5,0,0,0,0,0,0.0,0.0
price_vs_ma60,0,0,0,0,0,0.0,0.0
ma_60,0,0,0,0,0,0.0,0.0
bb_upper,0,0,0,0,0,0.0,0.0
bb_middle,0,0,0,0,0,0.0,0.0
bb_lower,0,0,0,0,0,0.0,0.0
obv,0,0,0,0,0,0.0,0.0
atr,0,0,0,0,0,0.0,0.0
slowk,0,0,0,0,0,0.0,0.0
price_vs_ma5,0,0,0,0,0,0.0,0.0
ma_20,0,0,0,0,0,0.0,0.0
rsi_turning,0,0,0,0,0,0.0,0.0
volume_trend_5,0,0,0,0,0,0.0,0.0
volume_trend_10,0,0,0,0,0,0.0,0.0
price_trend_5,0,0,0,0,0,0.0,0.0
price_volume_divergence,0,0,0,0,0,0.0,0.0
volume_consistency,0,0,0,0,0,0.0,0.0
macd_hist_trend_5,0,0,0,0,0,0.0,0.0
hammer_pattern,0,0,0,0,0,0.0,0.0
macd_signal_cross,0,0,0,0,0,0.0,0.0
macd_zero_cross_up,0,0,0,0,0,0.0,0.0
macd_zero_cross_down,0,0,0,0,0,0.0,0.0
macd_zero_cross,0,0,0,0,0,0.0,0.0
macd_hist_amplitude,0,0,0,0,0,0.0,0.0
macd_hist_direction,0,0,0,0,0,0.0,0.0
macd_hist_acceleration,0,0,0,0,0,0.0,0.0
macd_signal_convergence,0,0,0,0,0,0.0,0.0
macd_death_cross,0,0,0,0,0,0.0,0.0
downtrend,0,0,0,0,0,0.0,0.0
hammer_signal,0,0,0,0,0,0.0,0.0
doji_pattern,0,0,0,0,0,0.0,0.0
stoch_oversold,0,0,0,0,0,0.0,0.0
stoch_overbought,0,0,0,0,0,0.0,0.0
macd_percentile,0,0,0,0,0,0.0,0.0
obv_trend,0,0,0,0,0,0.0,0.0
rsi_turning_simple,0,0,0,0,0,0.0,0.0
volatility_5d,0,0,0,0,0,0.0,0.0
volatility_15d,0,0,0,0,0,0.0,0.0
volatility_25d,0,0,0,0,0,0.0,0.0
engulfing_pattern,0,0,0,0,0,0.0,0.0
signed_volume_strength,0,0,0,0,0,0.0,0.0
close_vs_high,0,0,0,0,0,0.0,0.0
volume_ma_ratio,0,0,0,0,0,0.0,0.0
rsi_momentum,0,0,0,0,0,0.0,0.0
volatility_3d,0,0,0,0,0,0.0,0.0
v2j2_macd_increase_pct,0,0,0,0,0,0.0,0.0
high_lag_3_rankpct,0,0,0,0,0,0.0,0.0
open_lag_3_rankpct,0,0,0,0,0,0.0,0.0
close_lag_3_rankpct,0,0,0,0,0,0.0,0.0
macd_robust_rankpct,0,0,0,0,0,0.0,0.0
rsi_robust_rankpct,0,0,0,0,0,0.0,0.0
boxcox_atr_rankpct,0,0,0,0,0,0.0,0.0
log_volume_rankpct,0,0,0,0,0,0.0,0.0
support_resistance_ratio_rankpct,0,0,0,0,0,0.0,0.0
low_mean_20_rankpct,0,0,0,0,0,0.0,0.0
high_mean_20_rankpct,0,0,0,0,0,0.0,0.0
smart_money_diff_rankpct,0,0,0,0,0,0.0,0.0
ret_intraday_rankpct,0,0,0,0,0,0.0,0.0
ret_overnight_rankpct,0,0,0,0,0,0.0,0.0
intraday_pos_rankpct,0,0,0,0,0,0.0,0.0
