column,source,cn_name,status
EMA_HIGH_3,s2,"EMA(H̃,3)/C̃",kept
EMA_HIGH_30,s2,"EMA(H̃,30)/C̃",kept
EMA_HIGH_5,s2,"EMA(H̃,5)/C̃",kept
EMA_HIGH_60,s2,"EMA(H̃,60)/C̃",kept
EMA_HLR_10,s2,"EMA(H/L,10)",kept
EMA_HLR_20,s2,"EMA(H/L,20)",kept
EMA_HLR_3,s2,"EMA(H/L,3)",kept
EMA_HLR_30,s2,"EMA(H/L,30)",kept
EMA_HLR_5,s2,"EMA(H/L,5)",kept
EMA_HLR_60,s2,"EMA(H/L,60)",kept
EMA_LOGV_10,s2,"EMA(log(V+1),10)",kept
EMA_LOGV_20,s2,"EMA(log(V+1),20)",kept
EMA_LOGV_3,s2,"EMA(log(V+1),3)",kept
EMA_LOGV_30,s2,"EMA(log(V+1),30)",kept
EMA_LOGV_5,s2,"EMA(log(V+1),5)",kept
EMA_LOGV_60,s2,"EMA(log(V+1),60)",kept
EMA_LOW_10,s2,"EMA(L̃,10)/C̃",kept
EMA_LOW_20,s2,"EMA(L̃,20)/C̃",kept
EMA_LOW_3,s2,"EMA(L̃,3)/C̃",kept
EMA_LOW_30,s2,"EMA(L̃,30)/C̃",kept
EMA_LOW_5,s2,"EMA(L̃,5)/C̃",kept
EMA_LOW_60,s2,"EMA(L̃,60)/C̃",kept
EMA_OPEN_10,s2,"EMA(Õ,10)/C̃",kept
EMA_OPEN_20,s2,"EMA(Õ,20)/C̃",kept
EMA_OPEN_3,s2,"EMA(Õ,3)/C̃",kept
EMA_OPEN_30,s2,"EMA(Õ,30)/C̃","dropped_dedup(anchor=EMA_CF_30, rho=0.999017)"
EMA_OPEN_5,s2,"EMA(Õ,5)/C̃",kept
EMA_OPEN_60,s2,"EMA(Õ,60)/C̃","dropped_dedup(anchor=EMA_CF_60, rho=0.999688)"
EMA_RETID_10,s2,"EMA(C/O-1,10)",kept
EMA_RETID_20,s2,"EMA(C/O-1,20)",kept
EMA_RETID_3,s2,"EMA(C/O-1,3)",kept
EMA_RETID_30,s2,"EMA(C/O-1,30)",kept
EMA_RETID_5,s2,"EMA(C/O-1,5)",kept
EMA_RETID_60,s2,"EMA(C/O-1,60)",kept
EMA_RETON_10,s2,"EMA(O/PC-1,10)",kept
EMA_RETON_20,s2,"EMA(O/PC-1,20)",kept
EMA_RETON_3,s2,"EMA(O/PC-1,3)",kept
EMA_RETON_30,s2,"EMA(O/PC-1,30)",kept
EMA_RETON_5,s2,"EMA(O/PC-1,5)",kept
EMA_RETON_60,s2,"EMA(O/PC-1,60)",kept
EMA_R_10,s2,"EMA(pct_chg/100,10)",kept
EMA_R_20,s2,"EMA(pct_chg/100,20)",kept
EMA_R_3,s2,"EMA(pct_chg/100,3)",kept
EMA_R_30,s2,"EMA(pct_chg/100,30)",kept
EMA_R_5,s2,"EMA(pct_chg/100,5)",kept
EMA_R_60,s2,"EMA(pct_chg/100,60)",kept
EMA_VWAP_10,s2,"EMA(A/V,10)/C",kept
EMA_VWAP_20,s2,"EMA(A/V,20)/C",kept
EMA_VWAP_3,s2,"EMA(A/V,3)/C",kept
EMA_VWAP_30,s2,"EMA(A/V,30)/C",kept
EMA_VWAP_5,s2,"EMA(A/V,5)/C",kept
EMA_VWAP_60,s2,"EMA(A/V,60)/C",kept
EMA_V_10,s2,"EMA(V,10)/(x+1)",kept
EMA_V_20,s2,"EMA(V,20)/(x+1)",kept
EMA_V_3,s2,"EMA(V,3)/(x+1)",kept
EMA_V_30,s2,"EMA(V,30)/(x+1)",kept
EMA_V_5,s2,"EMA(V,5)/(x+1)",kept
EMA_V_60,s2,"EMA(V,60)/(x+1)",kept
ENGULFING,s1,K线形态｜前阴今阳/前阳今阴且实体吞没 (+1/-1/0),kept
GAP_MEAN20,s1,"隔夜｜Mean(RET_ON,20)",kept
GAP_VOL20,s1,"隔夜｜Std(RET_ON,20)",kept
GK_VOL,s1,"波动率｜Mean20( sqrt(max(0.5*ln(H/L)^2-(2ln2-1)*ln(C/O)^2, 0)) ) (Garman-Klass)",kept
GK_VOL_RATIO,s1,"波动率｜GK_VOL/Mean(GK_VOL,20)",kept
HAMMER,s1,K线形态｜1[下影>=2*实体 且 上影<=0.5*实体 且 下影>=0.6*全长] (T 日),kept
HAMMER_L2,s1,事件结构｜HAMMER 形态在 i2 日的取值,kept
HLV_DIV10,s1,"量价相关｜-Corr(H/L, V, 10)",kept
HL_SPREAD,s1,流动性｜(H-L)/((H+L)/2),kept
IDXMAX_A_10,s2,"IdxMax(A,10)/10",kept
IDXMAX_A_20,s2,"IdxMax(A,20)/20",kept
IDXMAX_A_3,s2,"IdxMax(A,3)/3",kept
IDXMAX_A_30,s2,"IdxMax(A,30)/30",kept
IDXMAX_A_5,s2,"IdxMax(A,5)/5",kept
IDXMAX_A_60,s2,"IdxMax(A,60)/60",kept
IDXMAX_CF_10,s2,"IdxMax(CF,10)/10",kept
IDXMAX_CF_20,s2,"IdxMax(CF,20)/20",kept
IDXMAX_CF_3,s2,"IdxMax(CF,3)/3",kept
IDXMAX_CF_30,s2,"IdxMax(CF,30)/30",kept
IDXMAX_CF_5,s2,"IdxMax(CF,5)/5",kept
IDXMAX_CF_60,s2,"IdxMax(CF,60)/60",kept
IDXMAX_CLOSE_10,s2,"IdxMax(C̃,10)/10","dropped_dedup(anchor=IDXMAX_CF_10, rho=1.000000)"
IDXMAX_CLOSE_20,s2,"IdxMax(C̃,20)/20","dropped_dedup(anchor=IDXMAX_CF_20, rho=1.000000)"
