,2022,2023,2024,2025,mean_delta,years_above_null95
volume_ma_ratio_rankpct,0.0,0.0,0.0,0.0,0.0,0
close_vs_high_rankpct,0.0,0.0,0.0,0.0,0.0,0
return_lag_1_z,0.0,0.0,0.0,0.0,0.0,0
volume_lag_30_z,0.0,0.0,0.0,0.0,0.0,0
close_lag_10_z,0.0,0.0,0.0,0.0,0.0,0
high_lag_5_z,0.0,0.0,0.0,0.0,0.0,0
log_volume_rankpct,0.0,0.0,0.0,0.0,0.0,0
support_resistance_ratio_rankpct,0.0,0.0,0.0,0.0,0.0,0
low_mean_20_rankpct,0.0,0.0,0.0,0.0,0.0,0
volatility_30d_rankpct,0.0,0.0,0.0,0.0,0.0,0
signed_vol_strength_rankpct,0.0,0.0,0.0,0.0,0.0,0
rank_volume_rankpct,0.0,0.0,0.0,0.0,0.0,0
body_strength_rankpct,0.0,0.0,0.0,0.0,0.0,0
upper_shadow_ratio_rankpct,0.0,0.0,0.0,0.0,0.0,0
clv_rankpct,0.0,0.0,0.0,0.0,0.0,0
macd_signal_convergence_trend_rankpct,0.0,0.0,0.0,0.0,0.0,0
macd_signal_convergence_rankpct,0.0,0.0,0.0,0.0,0.0,0
macd_hist_acceleration_rankpct,0.0,0.0,0.0,0.0,0.0,0
macd_hist_amplitude_rankpct,0.0,0.0,0.0,0.0,0.0,0
high_lag_20_z,0.0,0.0,0.0,0.0,0.0,0
vol_gk_rankpct,0.0,0.0,0.0,0.0,0.0,0
vol_divergence_rankpct,0.0,0.0,0.0,0.0,0.0,0
dist_to_high_60_rankpct,0.0,0.0,0.0,0.0,0.0,0
close_lag_10_rankpct,0.0,0.0,0.0,0.0,0.0,0
low_lag_5_rankpct,0.0,0.0,0.0,0.0,0.0,0
high_lag_5_rankpct,0.0,0.0,0.0,0.0,0.0,0
open_lag_5_rankpct,0.0,0.0,0.0,0.0,0.0,0
volume_lag_15_z,0.0,0.0,0.0,0.0,0.0,0
low_lag_15_z,0.0,0.0,0.0,0.0,0.0,0
high_lag_15_z,0.0,0.0,0.0,0.0,0.0,0
open_lag_15_z,0.0,0.0,0.0,0.0,0.0,0
close_lag_15_z,0.0,0.0,0.0,0.0,0.0,0
volume_lag_10_z,0.0,0.0,0.0,0.0,0.0,0
low_lag_10_z,0.0,0.0,0.0,0.0,0.0,0
high_lag_10_z,0.0,0.0,0.0,0.0,0.0,0
open_lag_10_z,0.0,0.0,0.0,0.0,0.0,0
daily_return_rankpct,0.0,0.0,0.0,0.0,0.0,0
close_smooth_10_rankpct,0.0,0.0,0.0,0.0,0.0,0
rsi_robust_rankpct,0.0,0.0,0.0,0.0,0.0,0
close_lag_25_rankpct,0.0,0.0,0.0,0.0,0.0,0
volume_lag_20_rankpct,0.0,0.0,0.0,0.0,0.0,0
low_lag_20_rankpct,0.0,0.0,0.0,0.0,0.0,0
high_lag_20_rankpct,0.0,0.0,0.0,0.0,0.0,0
close_lag_20_rankpct,0.0,0.0,0.0,0.0,0.0,0
volume_lag_15_rankpct,0.0,0.0,0.0,0.0,0.0,0
low_lag_15_rankpct,0.0,0.0,0.0,0.0,0.0,0
high_mean_20_rankpct,0.0,0.0,0.0,0.0,0.0,0
smart_money_diff_rankpct,0.0,0.0,0.0,0.0,0.0,0
ret_intraday_rankpct,0.0,0.0,0.0,0.0,0.0,0
ret_overnight_rankpct,0.0,0.0,0.0,0.0,0.0,0
intraday_pos_rankpct,0.0,0.0,0.0,0.0,0.0,0
vol_gk_ratio_rankpct,0.0,0.0,0.0,0.0,0.0,0
open_lag_10_rankpct,0.0,0.0,0.0,0.0,0.0,0
